Column1,Column2,Count of Column1
A,2014-01-02,1
AAL,2014-01-02,1
AAP,2014-01-02,1
AAPL,2014-01-02,1
ABBV,2014-01-02,1
ABC,2014-01-02,1
ABT,2014-01-02,1
ACN,2014-01-02,1
ADBE,2014-01-02,1
ADI,2014-01-02,1
ADM,2014-01-02,1
ADP,2014-01-02,1
ADS,2014-01-02,1
ADSK,2014-01-02,1
AEE,2014-01-02,1
AEP,2014-01-02,1
AES,2014-01-02,1
AET,2014-01-02,1
AFL,2014-01-02,1
AGN,2014-01-02,1
AIG,2014-01-02,1
AIV,2014-01-02,1
AIZ,2014-01-02,1
AJG,2014-01-02,1
AKAM,2014-01-02,1
ALB,2014-01-02,1
ALGN,2014-01-02,1
ALK,2014-01-02,1
ALL,2014-01-02,1
ALLE,2014-01-02,1
ALXN,2014-01-02,1
AMAT,2014-01-02,1
AMD,2014-01-02,1
AME,2014-01-02,1
AMG,2014-01-02,1
AMGN,2014-01-02,1
AMP,2014-01-02,1
AMT,2014-01-02,1
AMZN,2014-01-02,1
ANDV,2014-01-02,1
ANSS,2014-01-02,1
ANTM,2014-01-02,1
AON,2014-01-02,1
AOS,2014-01-02,1
APA,2014-01-02,1
APC,2014-01-02,1
APD,2014-01-02,1
APH,2014-01-02,1
ARE,2014-01-02,1
ARNC,2014-01-02,1
ATVI,2014-01-02,1
AVB,2014-01-02,1
AVGO,2014-01-02,1
AVY,2014-01-02,1
AWK,2014-01-02,1
AXP,2014-01-02,1
AYI,2014-01-02,1
AZO,2014-01-02,1
BA,2014-01-02,1
BAC,2014-01-02,1
BAX,2014-01-02,1
BBT,2014-01-02,1
BBY,2014-01-02,1
BDX,2014-01-02,1
BEN,2014-01-02,1
BF.B,2014-01-02,1
BIIB,2014-01-02,1
BK,2014-01-02,1
BLK,2014-01-02,1
BLL,2014-01-02,1
BMY,2014-01-02,1
BRK.B,2014-01-02,1
BSX,2014-01-02,1
BWA,2014-01-02,1
BXP,2014-01-02,1
symbol,date,1
